ISO_Code,Guam,Ctry_Land,percent_IP_communitylands,Country Conversion,Country Coversion (pop)
BES,"Bonaire, Saint Eustatius and Saba (Netherlands)",29437,No data,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
BIH,Bosnia and Herzegovina,5072826,No data,Bosnia and Herzegovina,Bosnia and Herzegovina
BVT,Bouvet Island (Norway),7723,No data,,
BRA,Brazil,841395308,No data,Brazil,Brazil
IOT,British Indian Ocean Territory (UK),6418,No data,,
VGB,British Virgin Islands,16479,No data,British Virgin Islands,British Virgin Islands
BRN,Brunei,576891,No data,Brunei Darussalam,Brunei Darussalam
BGR,Bulgaria,11107617,No data,Bulgaria,Bulgaria
KHM,Cambodia,17776122,No data,Cambodia,Cambodia
CAN,Canada,959973659,No data,Canada,Canada
CYM,Cayman Islands (UK),27898,No data,Cayman Islands,Cayman Islands
CHL,Chile,74377715,No data,Chile,Chile
CHN,China,925625000,No data,China,China
CXR,Christmas Island (Australia),14018,No data,,
CL-,Clipperton Island (France),1014,No data,,
CCK,Cocos Islands (Asutralia),2355,No data,,
COL,Colombia,112991858,No data,Colombia,Colombia
CRI,Costa Rica,5123433,No data,Costa Rica,Costa Rica
HRV,Croatia,5662312,No data,Croatia,Croatia
CUB,Cuba,10959132,No data,Cuba,Cuba
CUW,Curaçao (Netherlands),43578,No data,Curacao,Curaçao
CYP,Cyprus,924857,No data,Cyprus,Cyprus
CZE,Czech Republic,7798754,No data,Czechia,Czechia
DNK,Denmark,4255963,No data,Denmark,Denmark
DJI,Djibouti,2120953,No data,Djibouti,Djibouti
DMA,Dominica,75688,No data,Dominica,Dominica
DOM,Dominican Republic,4787033,No data,Dominican Republic,Dominican Republic
SLV,El Salvador,2020183,No data,El Salvador,El Salvador
EST,Estonia,4309844,No data,Estonia,Estonia
FLK,Falkland Islands / Malvinas (UK),1223788,No data,Falkland Islands (Malvinas),Falkland Islands (Malvinas)
FRO,Faroe Islands (Denmark),140128,No data,Faroe Islands,Faroe Islands
FIN,Finland,30258230,No data,Finland,Finland
FRA,France,54542968,No data,France,France
GUF,French Guiana (France),8323417,No data,French Guiana,French Guiana
PYF,French Polynesia (France),403865,No data,French Polynesia,French Polynesia
ATF,French Southern Territories (France),761933,No data,,
GEO,Georgia,6950261,No data,Georgia,Georgia
DEU,Germany,35289896,No data,Germany,Germany
GIB,Gibraltar (UK),721,No data,Gibraltar,Gibraltar
GRC,Greece,13144845,No data,Greece,Greece
GRD,Grenada,36093,No data,Grenada,Grenada
GLP,Guadeloupe (France),165561,No data,Guadeloupe,Guadeloupe
GUM,Guam (U.S.),55128,No data,Guam,Guam
GTM,Guatemala,10830294,No data,Guatemala,Guatemala
GGY,Guernsey (UK),8816,No data,Guernsey,Channel Islands
GUY,Guyana,20972564,No data,Guyana,Guyana
HTI,Haiti,2698879,No data,Haiti,Haiti
HMD,Heard Island and McDonald Islands (Australia),36148,No data,,
HND,Honduras,11182456,No data,Honduras,Honduras
HKG,Hong Kong,111116,No data,,
HUN,Hungary,9144467,No data,Hungary,Hungary
ISL,Iceland,10053055,No data,Iceland,Iceland
IRQ,Iraq,43909289,No data,Iraq,Iraq
IRL,Ireland,6892896,No data,Ireland,Ireland
IMN,Isle of Man (UK),57682,No data,Isle of Man,Isle of Man
ISR,Israel,2197386,No data,Israel,Israel
ITA,Italy,29813073,No data,Italy,Italy
JAM,Jamaica,1101131,No data,Jamaica,Jamaica
JPN,Japan,36973117,No data,Japan,Japan
JEY,Jersey (UK),12476,No data,Jersey,Channel Islands
JOR,Jordan,8866063,No data,Jordan,Jordan
KAZ,Kazakhstan,264141064,No data,Kazakhstan,Kazakhstan
KO-,Kosovo (disputred territory),1088331,No data,Kosovo[1],0
KWT,Kuwait,1740640,No data,Kuwait,Kuwait
KGZ,Kyrgyzstan,19219308,No data,Kyrgyzstan,Kyrgyzstan
